id,title,release_date,vote_average,vote_count,popularity,original_language,overview,budget,revenue,release_year,roi
278,The Shawshank Redemption,1994-09-23,8.713,29288,36.7594,en,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",25000000,28341469,1994,0.13365876
238,The Godfather,1972-03-14,8.684,22108,25.4639,en,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",6000000,245066411,1972,39.844401833333336
240,The Godfather Part II,1974-12-20,8.57,13364,18.2049,en,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",13000000,102600000,1974,6.892307692307693
424,Schindler's List,1993-12-15,8.566,16883,11.4988,en,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,22000000,321365567,1993,13.607525772727273
389,12 Angry Men,1957-04-10,8.5,9552,9.5576,en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",397751,4360000,1957,9.961631774652986
129,Spirited Away,2001-07-20,8.535,17666,16.5178,ja,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",19000000,274925095,2001,13.469741842105263
155,The Dark Knight,2008-07-16,8.525,34763,27.7802,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",185000000,1004558444,2008,4.430045643243243
19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.5,4519,7.8509,hi,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",13200000,100000000,1995,6.575757575757576
497,The Green Mile,1999-12-10,8.503,18576,17.4571,en,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",60000000,286801374,1999,3.7800229
496243,Parasite,2019-05-30,8.5,19755,20.8237,ko,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",11363000,257591776,2019,21.669345771363197
